"","lambda","mu","nu","q","seed","crown_age","sequence_length","sample_interval","chain_length","sub_chain_length","gen_model","site_model","clock_model","marg_log_lik","marg_log_lik_sd"
"1",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","gtr","rln",-3984.13690791524,12.5886012334416
"2",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","gtr","rln",-4122.35952439725,14.929709139555
"3",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","jc69","rln",-3954.28213133878,13.0558810224076
"4",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","jc69","rln",-4054.34329077199,13.9467624206346
"5",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","gtr","strict",-3880.65324126042,13.6856492412679
"6",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","gtr","strict",-4148.22691223838,12.3385365518046
"7",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","jc69","strict",-4095.48040439813,12.5461166034903
"8",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","jc69","strict",-4083.89209071155,13.8773250320943
"9",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","gtr","rln",-766.532213093594,4.02709842683956
"10",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","gtr","rln",-730.058066712838,4.47622424615221
"11",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","jc69","rln",-732.065645848214,4.04206815936146
"12",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","jc69","rln",-664.704914810088,4.12583111543887
"13",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","gtr","strict",-746.854613053243,5.11533047587549
"14",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","gtr","strict",-740.404497610408,5.71001446011993
"15",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","jc69","strict",-754.898716421425,5.52841026336014
"16",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","jc69","strict",-699.864316624672,5.03373485028055
