"","lambda","mu","nu","q","seed","crown_age","sequence_length","sample_interval","chain_length","sub_chain_length","gen_model","site_model","clock_model","nltt_1","nltt_2","nltt_3","nltt_4"
"1",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","gtr","rln",0.231508301909197,0.269840992588824,0.263443942125999,0.269586119257056
"2",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","gtr","rln",0.225870812642107,0.249533952759414,0.234031801868265,0.22501160773359
"3",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","jc69","rln",0.231508301909197,0.245952424659026,0.233778175177648,0.23769022311802
"4",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","jc69","rln",0.225870812642107,0.268175137267508,0.260511277011616,0.260782829039032
"5",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","gtr","strict",0.19009695918222,0.242360417893083,0.231837970559578,0.232233864961561
"6",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","gtr","strict",0.184455599899387,0.20535411232395,0.206051483182997,0.207333404836627
"7",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"bd","jc69","strict",0.19009695918222,0.274665501537723,0.27892061731757,0.27773930184645
"8",0.2,0.15,1,0.1,1,15,100,1000,3000,1000,"mbd","jc69","strict",0.184455599899387,0.229525714438158,0.223112421723038,0.220062777475018
"9",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","gtr","rln",0.110363499196655,0.186753232788986,0.177866489682465,0.186887716504231
"10",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","gtr","rln",0.0626255267799886,0.149336736154881,0.150140323805923,0.149769614091684
"11",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","jc69","rln",0.105299993990754,0.148430872377736,0.162741013472105,0.165304030037874
"12",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","jc69","rln",0.0629512146008946,0.115362148918472,0.0373591215492182,0.063206191304895
"13",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","gtr","strict",0.0663054245003053,0.161476566233601,0.171943357457357,0.172380798936422
"14",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","gtr","strict",0.0451571629170088,0.130953443290756,0.137984174549082,0.138761236098513
"15",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"bd","jc69","strict",0.0663054245003053,0.160761944948777,0.164608989010871,0.111832602053638
"16",0.2,0.15,1,0.1,2,15,100,1000,3000,1000,"mbd","jc69","strict",0.0451571629170088,0.135962859754293,0.136753399580026,0.116685637190135
